CÓDIGO;EAN;DESCRIPCION;Unidades / Caja;Unidades / Embalaje;Pedido Minimo; TARIFA 2025 ;DTO 1;DTO CUSTAB;NETO CUSTAB;NETO UDS CUSTAB;NETO PROMO CUSTAB;NPC UDS;DTO PARTNER;NETO PARTNER;NETO UDS PARTNER;NETO PROMO CUSTAB;NPP UDS; DTO PROMO Q;PROMO X FAMILIA;FAMILIA PRODUCTO;CORE/STRATEGIC
8308601;3086121601019;CRISTAL MED POUCH4 BLUE EU;4;100;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
516332;3086123734548;CRISTAL MED BOX04 BLUE EU;4;120;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
8308611;3086120100018;CRISTAL MED POUCH4 RED EU;4;100;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
516333;3086123734555;CRISTAL MED BOX04 RED EU;4;120;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
8308581;70330125001;CRISTAL MED POUCH4 GREEN EU;4;100;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
516334;3086123734562;CRISTAL MED BOX04 GREEN EU;4;120;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
8308591;3086121601026;CRISTAL MED POUCH4 BLACK EU;4;100;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
516335;3086123734579;CRISTAL MED BOX04 BLACK EU;4;120;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
802052;70330100749;CRISTAL MED.POUCH 5 BLUE INT;5;100;10;2,53;25%;14%;1,632 €;0,326 €;;;14%;1,632 €;0,326 €;;;;;;CORE
516344;3086123734661;CRISTAL MED BOX05 BLUE EU;5;120;10;2,53;25%;14%;1,632 €;0,326 €;;;14%;1,632 €;0,326 €;;;;;;CORE
802051;70330100756;CRISTAL MED.POUCH 5 BLACK INT;5;100;10;2,53;25%;14%;1,632 €;0,326 €;;;14%;1,632 €;0,326 €;;;;;;CORE
516345;3086123734678;CRISTAL MED BOX05 BLACK EU;5;120;10;2,53;25%;14%;1,632 €;0,326 €;;;14%;1,632 €;0,326 €;;;;;;CORE
802054;70330100763;CRISTAL MED.POUCH 5 AST INT;5;100;10;2,53;25%;14%;1,632 €;0,326 €;;;14%;1,632 €;0,326 €;;;;;;CORE
516346;3086123734685;CRISTAL MED BOX05 AST EU;5;120;10;2,53;25%;14%;1,632 €;0,326 €;;;14%;1,632 €;0,326 €;;;;;;CORE
830863;3086121601118;CRISTAL MED POUCH10 BLUE EU;10;40;10;4,67;25%;14%;3,012 €;0,301 €;;;14%;3,012 €;0,301 €;;;;;;CORE
516352;3086123734746;CRISTAL MED BOX10 BLUE EU;10;60;10;4,67;25%;14%;3,012 €;0,301 €;;;14%;3,012 €;0,301 €;;;;;;CORE
830864;3086120100032;CRISTAL MED POUCH10 BLACK EU;10;40;10;4,67;25%;14%;3,012 €;0,301 €;;;14%;3,012 €;0,301 €;;;;;;CORE
516353;3086123734753;CRISTAL MED BOX10 BLACK EU;10;60;10;4,67;25%;14%;3,012 €;0,301 €;;;14%;3,012 €;0,301 €;;;;;;CORE
830865;3086121601125;CRISTAL MED POUCH10 ASS EU;10;40;10;4,67;25%;14%;3,012 €;0,301 €;;;14%;3,012 €;0,301 €;;;;;;CORE
516354;3086123734760;CRISTAL MED BOX10 AST EU;10;60;10;4,67;25%;14%;3,012 €;0,301 €;;;14%;3,012 €;0,301 €;;;;;;CORE
847817;3086126732213;CRISTAL MED POUCH 8+2 AST EU;10;40;10;3,74;25%;14%;2,412 €;0,241 €;;;14%;2,412 €;0,241 €;;;;;;CORE
516355;3086123734777;CRISTAL MED BOX8+2 AST EU;10;60;10;3,74;25%;14%;2,412 €;0,241 €;;;14%;2,412 €;0,241 €;;;;;;CORE
8308621;3086121601033;CRISTAL MED POUCH4 ASS EU;4;100;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
516834;3086123737211;CRISTAL MED BOX04 AST EU;4;120;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
8804012;3086126774558;CRISTAL MED OUT24 PO27FS 18 EU;27;24;24;8,98;25%;14%;5,792 €;0,215 €;;;14%;5,792 €;0,215 €;;;;;;CORE
524170;3086123764002;CRISTAL MED OUT24 BOX27FS EU;27;24;24;8,98;25%;14%;5,792 €;0,215 €;;;14%;5,792 €;0,215 €;;;;;;CORE
9319451;3086126774558;CRISTAL MEDIUM PO 27 FS 18FR;27;50;50;8,98;25%;14%;5,792 €;0,215 €;;;14%;5,792 €;0,215 €;;;;;;CORE
526289;3086123764002;CRISTAL MEDIUM BOX 27 FS 24 FR;27;50;50;8,98;25%;14%;5,792 €;0,215 €;;;14%;5,792 €;0,215 €;;;;;;CORE
8373632;70330129665;CRISTAL MED BOX50 BLCK WRAP EU;50;20;1;13,24;25%;14%;8,540 €;0,171 €;;;14%;8,540 €;0,171 €;;;;;;CORE
847897;70330129665;CRISTAL MED B50 BCL BLK NF EU;50;20;1;13,24;25%;14%;8,540 €;0,171 €;;;14%;8,540 €;0,171 €;;;;;;CORE
8373639;70330129665;CRISTAL MEDIUM BOX50 BLK NF EU;50;20;1;13,24;25%;14%;8,540 €;0,171 €;;;14%;8,540 €;0,171 €;;;;;;CORE
8373602;70330129627;CRISTAL MED BOX50 BLUE WRAP EU;50;20;1;13,24;25%;14%;8,540 €;0,171 €;;;14%;8,540 €;0,171 €;;;;;;CORE
8373609;70330129627;CRISTAL MEDIUM BOX50 BLU NF EU;50;20;1;13,24;25%;14%;8,540 €;0,171 €;;;14%;8,540 €;0,171 €;;;;;;CORE
847898;70330129627;CRISTAL MED B50 BCL BLU NF EU;50;20;1;12,82;25%;14%;8,269 €;0,165 €;;;14%;8,269 €;0,165 €;;;;;;CORE
8373612;70330129634;CRISTAL MED BOX50 WRAP RED EU;50;20;1;13,24;25%;14%;8,540 €;0,171 €;;;14%;8,540 €;0,171 €;;;;;;CORE
847899;70330129634;CRISTAL MED B50 BCL RED NF EU;50;20;1;13,24;25%;14%;8,540 €;0,171 €;;;14%;8,540 €;0,171 €;;;;;;CORE
8373619;70330129634;CRISTAL MEDIUM BOX50 RED NF EU;50;20;1;13,24;25%;14%;8,540 €;0,171 €;;;14%;8,540 €;0,171 €;;;;;;CORE
8373629;70330129641;CRISTAL MEDIUM BOX50 GRN NF EU;50;20;1;13,24;25%;14%;8,540 €;0,171 €;;;14%;8,540 €;0,171 €;;;;;;CORE
875976;70330129641;CRISTAL MED B50 BCL GRN NF EU;50;20;1;13,24;25%;14%;8,540 €;0,171 €;;;14%;8,540 €;0,171 €;;;;;;CORE
9126711;3086123333956;CRISTAL MED PO20 FS 18 EU;20;20;20;6,74;25%;14%;4,347 €;0,217 €;;;14%;4,347 €;0,217 €;;;;;;CORE
524171;3086123764019;CRISTAL MED BOX20 FS 24 EU;20;20;1;6,74;25%;14%;4,347 €;0,217 €;;;14%;4,347 €;0,217 €;;;;;;CORE
929081;3086126780160;MEGA CRISTAL 16+4 FOR PEG EU;20;20;1;7,66;25%;5%;5,458 €;0,273 €;;;9%;5,228 €;0,261 €;;;;PROMO SKU;MEGATUBO CRISTAL;STRATEGIC
942910;3086123278233;CRISTAL MED VP 90+10 BLUE EU;100;14;1;23,30;25%;14%;15,029 €;0,150 €;;;14%;15,029 €;0,150 €;;;;;;CORE
942911;3086123278240;CRISTAL MED VP 90+10 BLACK EU;100;14;1;23,30;25%;14%;15,029 €;0,150 €;;;14%;15,029 €;0,150 €;;;;;;CORE
961592;3086123516526;CRISTAL TRAD CDISP18 V2 SP;920;1;1;206,28;25%;14%;133,051 €;0,145 €;;;14%;133,051 €;0,145 €;;;;3 CAJAS CRISTAL AZUL REGALO;EXPOSITOR FAMILIA CRISTAL;CORE
9615921;3086123516526;CRISTAL TRAD CDISP18 V3 SP;920;1;1;206,28;25%;14%;133,051 €;0,145 €;;;14%;133,051 €;0,145 €;;;;;;CORE
8727231;3086123134409;CRISTAL FINE 08 PO10 AST EU;10;40;10;4,67;25%;14%;3,012 €;0,301 €;;;14%;3,012 €;0,301 €;;;;;;CORE
872723;3086123134409;CRISTAL FINE 08 PO10 AST EU;10;40;10;4,67;25%;14%;3,012 €;0,301 €;;;14%;3,012 €;0,301 €;;;;;;CORE
516356;3086123734784;CRISTAL FINE 08 BOX10 AST EU;10;60;10;4,67;25%;14%;3,012 €;0,301 €;;;14%;3,012 €;0,301 €;;;;;;CORE
8754001;5410168112968;CRISTALTUBO 50 BLUE C&C EU;50;10;10;18,03;25%;5%;12,846 €;0,257 €;;;9%;12,305 €;0,246 €;;;;;;STRATEGIC
526280;3086123356115;CRISTAL CELEB SILV BCL B20 EU;20;30;1;28,57;25%;5%;20,356 €;1,018 €;16,285 €;0,814 €;9%;19,499 €;0,975 €;15,599 €;0,780 €;20%;PROMO 20% ADICIONAL;CRISTAL SHINE;STRATEGIC
921339;3086123356115;CRISTAL CELEB SILV BCL B20 EU;20;50;1;28,57;25%;5%;20,356 €;1,018 €;;;9%;19,499 €;0,975 €;;;;;;STRATEGIC
999145;3086123638969;ST CRISTAL SHINE BL4 20 EU;4;25;25;6,28;25%;5%;4,475 €;1,119 €;;;9%;4,286 €;1,072 €;;;;;;STRATEGIC
9213361;3086123356085;CRISTAL CELEBRATE BL2 EU;2;25;25;3,23;25%;5%;2,301 €;1,151 €;;;9%;2,204 €;1,102 €;;;;;;STRATEGIC
9213381;3086123356108;CRIST CELEB BCL TUBO40 EU;40;1;1;57,13;25%;5%;40,705 €;1,018 €;32,564 €;0,814 €;9%;38,991 €;0,975 €;31,193 €;0,780 €;20%;PROMO 20% ADICIONAL;EXPOSITOR CRISTAL SHINE;STRATEGIC
526281;3086123356122;CRISTAL CELEBRATE GOLD B20 EU;20;30;1;28,57;25%;5%;20,356 €;1,018 €;16,285 €;0,814 €;9%;19,499 €;0,975 €;15,599 €;0,780 €;20%;PROMO 20% ADICIONAL;CRISTAL SHINE;STRATEGIC
9213401;3086123356122;CRISTAL CELEB GOLD BCL B20 EU;20;50;1;28,57;25%;5%;20,356 €;1,018 €;;;9%;19,499 €;0,975 €;;;;;;STRATEGIC
511042;3086123714366;CRISTAL MULTICOL PO15 DISC EU;15;20;20;7,43;25%;5%;5,294 €;0,353 €;;;9%;5,071 €;0,338 €;;;;;;STRATEGIC
524181;3086123764118;CRISTAL MULTICO BOX15 DISC EU;15;22;22;7,43;25%;5%;5,294 €;0,353 €;;;9%;5,071 €;0,338 €;;;;;;STRATEGIC
926381;3086123379695;CRISTAL MULTICO BCL B20 EU;20;50;1;5,30;25%;14%;3,419 €;0,171 €;;;14%;3,419 €;0,171 €;;;;;;CORE
942049;3086123449008;CRISTAL MULTICOL AST DOYP20 EU;20;20;20;10,62;25%;14%;6,850 €;0,342 €;;;14%;6,850 €;0,342 €;;;;;;CORE
526778;3086123773332;CRISTAL MULTICOL AST BOX20 EU;20;20;1;10,62;25%;5%;7,567 €;0,378 €;;;9%;7,248 €;0,362 €;;;;;;STRATEGIC
942050;3086123449015;CRISTAL MULTICO AST DPK20+7 EU;27;20;20;10,62;25%;14%;6,850 €;0,254 €;;;14%;6,850 €;0,254 €;;;;;;CORE
527531;3086123776647;CRISTAL MULTICO AST BOX27FS EU;27;20;1;10,62;25%;5%;7,567 €;0,280 €;;;9%;7,248 €;0,268 €;;;;;;STRATEGIC
943437;3086123460089;CRISTAL MULTICO AST P10 EU;10;20;20;5,12;25%;14%;3,302 €;0,330 €;;;14%;3,302 €;0,330 €;;;;;;CORE
524180;3086123764101;CRISTAL MULTICO AST BOX10 EU;10;20;1;5,12;25%;5%;3,648 €;0,365 €;;;9%;3,494 €;0,349 €;;;;;;STRATEGIC
945758;3086123474819;CRISTAL FLUO MEGA TUBO 17 EU;20;20;1;7,66;25%;5%;5,458 €;0,273 €;;;9%;5,228 €;0,261 €;;;;;;STRATEGIC
949869;3086123494626;CRISTAL UP AST BL8 EU;8;20;20;4,60;25%;14%;2,967 €;0,371 €;;;14%;2,967 €;0,371 €;;;;;;CORE
526272;3086123770843;CRISTAL UP AST BOX8 EU;8;20;20;4,60;25%;5%;3,278 €;0,410 €;;;9%;3,140 €;0,392 €;;;;;;STRATEGIC
949872;3086123494657;CRISTAL UP AST BL6+2 EU;8;20;20;3,45;25%;14%;2,225 €;0,278 €;;;14%;2,225 €;0,278 €;;;;;;CORE
964899;3086123538870;CRISTAL MULTICOLOURS PK15 EU;15;20;20;8,75;25%;14%;5,644 €;0,376 €;4,797 €;0,320 €;14%;5,644 €;0,376 €;4,797 €;0,320 €;15%;PROMO 15% ADICIONAL;CRISTAL MULTICOLOR;CORE
503493;3086123679412;CRISTAL 1.6 FUN P8 AST EU;8;10;10;4,34;25%;14%;2,799 €;0,350 €;;;14%;2,799 €;0,350 €;;;;;;CORE
895793;3086123272101;CRISTAL 1.6 FASHION B20 AST EU;20;18;1;5,30;25%;14%;3,419 €;0,171 €;3,077 €;0,154 €;14%;3,419 €;0,171 €;3,077 €;0,154 €;10%;PROMO 10% ADICIONAL;CRISTAL FUN;CORE
921342;3086123356146;CRISTAL 1.6 FUN P10 AST EU;10;20;20;5,17;25%;14%;3,335 €;0,333 €;;;14%;3,335 €;0,333 €;;;;;;CORE
524176;3086123764064;CRISTAL 1.6 FUN BOX10 AST EU;10;20;20;5,17;25%;14%;3,335 €;0,333 €;;;14%;3,335 €;0,333 €;;;;;;CORE
927885;3086123388703;CRISTAL 1.6 FUN LM BCL B20 EU;20;18;1;5,30;25%;14%;3,419 €;0,171 €;;;14%;3,419 €;0,171 €;;;;;;CORE
929055;3086123395817;CRISTAL 1.6 FUN PRP BCL B20 EU;20;18;1;5,30;25%;14%;3,419 €;0,171 €;3,077 €;0,154 €;14%;3,419 €;0,171 €;3,077 €;0,154 €;10%;PROMO 10% ADICIONAL;CRISTAL FUN;CORE
929056;3086123395824;CRISTAL 1.6 FUN PNK BCL B20 EU;20;18;1;5,30;25%;14%;3,419 €;0,171 €;3,077 €;0,154 €;14%;3,419 €;0,171 €;3,077 €;0,154 €;10%;PROMO 10% ADICIONAL;CRISTAL FUN;CORE
